Category;isDeprecated;containsJavadoc
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Lost Visibility in Method;false;true
Lost Visibility in Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Change in Return Type Method;false;true
Rename Method;false;true
Lost Visibility in Method;false;false
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;true
Remove Method;false;false
